player_name,player_id,season,Year in NBA,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,College Drafted Players Stats from 2000-2005 (1).Rk,College Drafted Players Stats from 2000-2005 (1).PTS,College Drafted Players Stats from 2000-2005 (1).Draft Year,College Drafted Players Stats from 2000-2005 (1).Draft College,College Drafted Players Stats from 2000-2005 (1).Season,College Drafted Players Stats from 2000-2005 (1).Team,College Drafted Players Stats from 2000-2005 (1).G,College Drafted Players Stats from 2000-2005 (1).GS,College Drafted Players Stats from 2000-2005 (1).MP,College Drafted Players Stats from 2000-2005 (1).FG,College Drafted Players Stats from 2000-2005 (1).FGA,College Drafted Players Stats from 2000-2005 (1).2P,College Drafted Players Stats from 2000-2005 (1).2PA,College Drafted Players Stats from 2000-2005 (1).3P,College Drafted Players Stats from 2000-2005 (1).3PA,College Drafted Players Stats from 2000-2005 (1).FT,College Drafted Players Stats from 2000-2005 (1).FTA,College Drafted Players Stats from 2000-2005 (1).ORB,College Drafted Players Stats from 2000-2005 (1).DRB,College Drafted Players Stats from 2000-2005 (1).TRB,College Drafted Players Stats from 2000-2005 (1).AST,College Drafted Players Stats from 2000-2005 (1).STL,College Drafted Players Stats from 2000-2005 (1).BLK,College Drafted Players Stats from 2000-2005 (1).TOV,College Drafted Players Stats from 2000-2005 (1).PF,College Drafted Players Stats from 2000-2005 (1).PTS_1,College Drafted Players Stats from 2000-2005 (1).FG%,College Drafted Players Stats from 2000-2005 (1).2P%,College Drafted Players Stats from 2000-2005 (1).3P%,College Drafted Players Stats from 2000-2005 (1).FT%,College Drafted Players Stats from 2000-2005 (1).TS%,College Drafted Players Stats from 2000-2005 (1).eFG%,College Drafted Players Stats from 2000-2005 (1).Pos,Year in NBA2
Gilbert Arenas,arenagi01,2004,3,4014,2066,0.918857909,-1.436465825,-0.517607917,2.368665488,2.368665488,0,1.405605152,-0.483159496,0.922445656,0.60297909,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,3
Gilbert Arenas,arenagi01,2005,4,7339,3724,4.523299506,-1.184598025,3.338701482,11.6392294,10.48343493,1.155794471,4.737701853,-0.31457563,4.423126223,0.252913336,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,4
Gilbert Arenas,arenagi01,2006,5,7119,3668,5.696477139,-0.870417212,4.826059927,14.27689748,12.90080804,1.37608944,6.107251034,0.06712898,6.174380013,0.33341253,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,5
Gilbert Arenas,arenagi01,2007,6,5834,2942,6.172511025,0.066437618,6.238948643,13.55784962,13.55784962,0,6.715064766,0.870105064,7.58516983,0.450726654,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,6
Gilbert Arenas,arenagi01,2008,7,976,519,-0.157177178,-0.795364579,-0.952541757,0.473677052,0.595562749,-0.121885697,0.706750789,-0.64787973,0.058871059,1.025168121,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,7
Gilbert Arenas,arenagi01,2009,8,121,63,3.146022333,-1.948767051,1.197255282,0.12571492,0.12571492,0,2.533054603,-1.730986082,0.802068521,-0.848574046,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,8
Gilbert Arenas,arenagi01,2010,9,2256,1169,1.723395307,-0.825212183,0.898183124,2.186114659,2.186114659,0,2.292918448,-0.282686075,2.010232372,0.44225439,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,9
Gilbert Arenas,arenagi01,2011,10,3639,1877,-1.419448223,-0.967208929,-2.386657152,0.351903311,0.256787288,0.095116023,-0.787525991,-0.573584779,-1.361110769,2.172311404,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,10
Rafael Araujo,araujra01,2005,1,1438,736,-5.151463891,-0.923657837,-6.075121728,-1.266335629,-1.266335629,0,-4.962564003,-0.468010921,-5.430574924,1.30674432,133,552,2004,Brigham Young,2003,Brigham Young,30,30,895,211,368,203,338,8,30,122,169,87,216,303,37,43,25,87,94,552,0.573,0.601,0.267,0.722,0.616,0.584,C,1
Rafael Araujo,araujra01,2006,2,1154,601,-7.712709992,-0.339946854,-8.052656846,-1.644246345,-1.644246345,0,-7.029562927,-0.399138557,-7.428701483,1.030819711,133,552,2004,Brigham Young,2003,Brigham Young,30,30,895,211,368,203,338,8,30,122,169,87,216,303,37,43,25,87,94,552,0.573,0.601,0.267,0.722,0.616,0.584,C,2
